dosen,judul
I KOMANG SETIA BUANA,SISTEM INFORMASI ABSENSI KARYAWAN PADA UPT. SKB. SUKAWATI MENGGUNAKAN SCANNING SIDIK JARI DENGAN TEKNIK CAPACITIVE SCANNING
I KOMANG SETIA BUANA,SISTEM INFORMASI UNTUK BUDAYA SENI LUKISAN DI DESA BATUAN BERBASIS WEB RESPONSIF MENGGUNAKAN TOOLS FITTEXT
I KOMANG SETIA BUANA,Aplikasi Pembelajaran Metode-metode Dan Teknik Tenis Meja Berbasis Android
I KOMANG SETIA BUANA,RANCANG BANGUN APLIKASI PEMBELAJARAN PEMBUATAN UPAKARA CARU DALAM UPACARA BHUTA YADNYA BERBASIS ADNROID
I KOMANG SETIA BUANA,Ibm Bumbu Rujak Denpasar
I KOMANG SETIA BUANA,Pengembangan model pembelajaran teknik dasar passing dan controlling sepakbola menggunakan kaki tangan bagian dalam untuk kelas VII. G SMP Negeri 5 Pasuruan/oleh Iwan Buana
ARIZAL,Metode Prototype pada Sistem Informasi Manajemen Tugas Akhir Mahasiswa Berbasis Website
ARIZAL,Kriptografi: Teknik Keamanan Data
ARIZAL,Feature Selection Correlation-Based pada Prediksi Nasabah Bank Telemarketing untuk Deposito
ARIZAL,Sistem Informasi E-katalog Terintegrasi QRCode Berbasis Website untuk Pemasaran Produk Furniture
ARIZAL,Komunikasi Data
ARIZAL,Implementation Cryptography and Access Control on IoT-Based Warehouse Inventory Management System
ARIZAL,Implementasi Deteksi Judul Berita Clickbait Berbahasa Indonesia dengan pre-trained model Multilingual BERT Pada Aplikasi Berbasis Chrome Extension
ARIZAL,PRESENT Algorithm and Authentication Protocol for a Secure Patient Monitoring System
ARIZAL,Sistem Informasi Manajemen Wisuda Berbasis Website Menggunakan Metode Waterfall
ARIZAL,Backpropagation performance against support vector machine in detecting tuberculosis based on lung x-ray image
ARIZAL,Investigasi Insiden Kebocoran Data Menggunakan Integrasi Melalui Pendekatan Open Source Intelligence dan Detection Maturity Level Model
ARIZAL,Comparative Analysis of Forensic Results of File Deletion Tools on Windows
ARIZAL,SIGNIN: The Digital Signature and File Verification Management Application Using Secure Rapid Application Development Approach
ARIZAL,Zoea Crab Larva Counter (CLARCO) Based On Image Processing With Adaptive Gaussian Filter Algorithm And Blob Detection Technique
ARIZAL,Impact Analysis of Crypto Miner Malware Attacks Using Android Debug Bridge (ADB) Vulnerabilities via TCP/IP on Android-Based Raspberry Pi 4 IoT Device
ARIZAL,Multilayers Physical Authentication and NoSQL PRESENT algorithm for Data Center
ARIZAL,Detection of Tubercolosis Disease Based on X-Ray Images Of Lung Using Artificial Neural Netrwork With Backpropagation Method
YENI FARIDA,Formal Analysis of SMAP Fog/Edge Protocol Using AVISPA
SRI ROSDIANA,The Audio Encryption Approach uses a Unimodular Matrix and a Logistic Function
SRI ROSDIANA,Digital forensics on facebook messenger application in an android smartphone based on NIST SP 800-101 R1 to reveal digital crime cases
SRI ROSDIANA,On Linear Codes over Z2m + vZ2m.
SRI ROSDIANA,Comparative Analysis of Machine Learning Models for Data Traffic Anomaly Detection Systems in Intrusion Detection Systems
SRI ROSDIANA,Performance Test of Hash Functions in Proof of Work Schemes in Blockchain
SRI ROSDIANA,Implementasi invisible steganography via generative adverserial network (ISGAN) untuk steganografi gambar
SRI ROSDIANA,Implementasi digital signature algorithm (DSA) dengan SHA-512 pada citra digital menggunakan metode reversible image steganography berbasis pixel value ordering (PVO)
SRI ROSDIANA,Analisis Forensik Digital Aplikasi Sync dan Terabox pada Platform iOS untuk Menemukan Artefak yang Dihapus Berdasarkan NIST 800-101 Rev 1
SRI ROSDIANA,Analisis Mobile Forensic Threema pada Android Smartphone Berdasarkan NIST SP 800-101 R1
SRI ROSDIANA,Forensik Digital Aplikasi Facebook Messenger pada Smartphone Berbasis Android Berdasarkan NIST SP 800-101 R1 untuk Mengungkap Kasus Kejahatan Digital
SRI ROSDIANA,Implementasi secret sharing berbasis visual cryptography menggunakan Citra Grayscale
SRI ROSDIANA,Constructing an optimum 4× 4 S-Box with quasigroup
SRI ROSDIANA,Modifikasi algoritme ESRKGS Thangavel et al. menggunakan metode multi kunci dan Teorema Sisa Cina
SRI ROSDIANA,Construction of Hybrid Quantum Codes from Nested Linear Codes
SRI ROSDIANA,ANALISIS UNDISTURBED BIT PADA KONSTRUKSI S-BOX QUASIGROUP 4× 4
SRI ROSDIANA,Konstruksi Algoritme Aritmetik GF (2n) dengan Operasi Perkalian Oibangkitkan dari Sifat Orup Siklik
MAGFIRAWATY,Novel Image Encryption Using a Pseudoset Generated by Chaotic Permutation Multicircular Shrinking With a Gradual Deletion of the Input Set
MAGFIRAWATY,Securing Data Communication Through MQTT Protocol with AES-256 Encryption Algorithm CBC Mode on ESP32-Based Smart Homes
MAGFIRAWATY,Modified logistic maps for discrete time chaos based random number generator
MAGFIRAWATY,On the design of henon and logistic map-based random number generator
MAGFIRAWATY,Principal component analysis and data encryption model for face recognition system
MAGFIRAWATY,A novel discrete-time chaos-function-based random-number generator: design and variability Analysis
MAGFIRAWATY,Comparison of Authentication Schemes on IoT
MAGFIRAWATY,True Random Number Generator Based on Wake-Up Ring Oscillator Utilizing Post-Processing Optimization to Generate Random Bit Sequence
MAGFIRAWATY,The Development and Analysis of TWISH: A Lightweight-Block-Cipher-TWINE-Based Hash Function
MAGFIRAWATY,Performance analysis of zigzag map and hash function to generate random number
MAGFIRAWATY,Confusion and Diffusion Techniques for Image Encryption Process Based on Chaos System
MAGFIRAWATY,UNIVERSAL SECURE HT-BOX SEBAGAI ALAT KOMUNIKASI AMAN UNTUK KEPENTINGAN STRATEGIS
MAGFIRAWATY,Pemanfaatan Fungsi Modifikasi Fungsi Non Linear Satu Dimensi dan Aritmatika Floating Point IEEE 754-2008 pada Pembangkitan Rangkaian Bit Acak Berbasis Discrete Time
MAGFIRAWATY,Development and performance analysis for high-quality discrete time chaos random number generator using LFSR-based hash function
MAGFIRAWATY,Implementation Of Pseudo Random Number Generator Algorithms based on Chaotic Logistic Map on an AVR Microcontroller by Utilizing a Temperature Sensor as a Key Sequence Generator
MAGFIRAWATY,The Implementation of T-020 Block Cipher Algorithm and Dongle Design on Field Programmable Gate Array (FPGA)
MAGFIRAWATY,On The Design of True Random Number Generator using Ring Oscillators and Chaotic System as Post-Processing
MAGFIRAWATY,Diffusion Analysis of F-function on KASUMI Algorithm
MAGFIRAWATY,"Analysis of the Use of Whirlpool’s S-box, S1 and S2 SEED’s S-box in AES Algorithm with SAC Test"
NANANG TRIANTO,Analisis Malware Menggunakan Metode Analisis Statis dan Dinamis untuk Pembuatan IOC Berdasarkan STIX Versi 2.1
NANANG TRIANTO,Security Assessment pada Aplikasi Mobile Android XYZ dengan Mengacu pada Kerentanan OWASP Mobile Top Ten 2016
NANANG TRIANTO,"Systematic Literature Review of Game-Based Learning: Objectives, Methods, Applications, Measurement Parameters, and Types of Games"
NANANG TRIANTO,Hardening a work from home network with wireguard and suricata
NANANG TRIANTO,Privacy Control for Personally Identifiable Information on the Information System (Case Study: XYZ Organization)
NANANG TRIANTO,Tailoring e-Government’s ICT Readiness for Business Continuity based on Cyber-Risk Approach
NANANG TRIANTO,Pembuatan cyber exercise investigasi forensik jaringan berdasarkan ISO 22398
NANANG TRIANTO,Perbandingan mobile forensic tools pada smartphone berbasis android menggunakan NIST (studi kasus penipuan E-Commerce)
NANANG TRIANTO,Analisis keamanan berbasis open web application security project (OWASP) Top 10 2021 pada aplikasi web Simantap online milik Pemerintah Kota Ambon
NANANG TRIANTO,"Forensik jaringan serangan malware, port scanning, ping of death berdasarkan network forensics development life cycle (NFDLC)"
NANANG TRIANTO,Analisis Keamanan Aplikasi Website Simaniz Milik Pemerintah Kabupaten Bojonegoro Mengacu pada Open Web Application Security Project Top Ten 2021
NANANG TRIANTO,Analisis kemampuan zeek dan suricata sebagai host-based intrusion detection system (HIDS) terhadap serangan denial of service (DoS) pada jaringan
NANANG TRIANTO,Analisis komparatif protokol VPN pada IPv6 berdasarkan quality of service
NANANG TRIANTO,Evaluasi dan strategi perbaikan tata kelola keamanan sistem informasi menggunakan kerangka kerja cybersecurity capability maturity model (C2M2) pada sistem informasi manajemen …
NANANG TRIANTO,Analisis integrasi security information and event management (SIEM) dan intrusion detection system (IDS) dalam mendeteksi serangan berbasis Evasion Technique
NANANG TRIANTO,Security Assessment Pada aplikasi Web Sipentas Milik Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu (DPMPTSP) Kota Tasikmalaya
NANANG TRIANTO,Analisis Komparatif Bukti Digital pada Aplikasi Whatsapp Messenger Berbasis Desktop Berdasarkan Integrated Digital Forensics Investigation Framework VErsion 2 (IDFIF V2)
NANANG TRIANTO,Comparative Quality of Service Analysis of VPN Protocols on IPv6
NANANG TRIANTO,Implementasi KRACK dan KRACK Detector terhadap Wpa_Supplicant pada Perangkat Android dan Linux Ubuntu
NANANG TRIANTO,TA-Strategi Penerapan Keamanan Informasi dalam Pelaksanaan Tugas dan Fungsi Kementerian Dalam Negeri Berdasarkan Peraturan Menteri Dalam Negeri Nomor 43 Tahun 2015 tentang OTK …
DESI MARLENA,Multiband microstrip antenna array for WiMAX application
DESI MARLENA,Design of secure NFC e-payment with ambient conditions-based solutions and Chaskey algorithm
DESI MARLENA,Deskripsi Tokoh Dalam Trilogi Requiem Kunang-Kunang
DESI MARLENA,STUDI LITERATUR PENERAPAN AUGMENTED REALITY PADA PENDIDIKAN
DESI MARLENA,PRESENT Algorithm and Authentication Protocol for a Secure Patient Monitoring System
DESI MARLENA,Analisis Forensik Drone Menggunakan Metode Clark et al. dan Renduchintala et al.(Studi Kasus: DJI Phantom 3 Standard)
DESI MARLENA,Implementasi Algoritme AES-256 pada Sistem Pemantauan Getaran Gempa Bumi Menggunakan Perangkat LoRa dan Antena Yagi Untuk Pengiriman Informasi Darurat yang Aman
DESI MARLENA,Implementasi Algoritma Present pada Prototipe Asset Tracking System Berbasis LoRa
DESI MARLENA,Implementasi Keyed-Hash Message Authetication Code (HMAC) dan Algoritma Grain Sebagai Pengamanan Data pada Komunikasi Bluetooth Low Energy (BLE) dalam Smart Room
DESI MARLENA,Implementasi autentikasi dua faktor berbasis RFID dan pengenalan wajah dengan skema secret sharing pada sistem kendali akses ruang server
DESI MARLENA,Implementasi Algoritme Snow pada Sistem Komunikasi Voip Berbasis Raspberry Pi
DESI MARLENA,Implementasi Algoritme PRESENT pada Model Smart-Home Berbasis Long-Range (LoRa)
DESI MARLENA,Author’s Index
MUHAMMAD YUSUF BAMBANG SETIADJI,Lightweight method for detecting fake authentication attack on Wi-Fi
MUHAMMAD YUSUF BAMBANG SETIADJI,Utilizing Reverse Engineering Technique for A Malware Analysis Model
MUHAMMAD YUSUF BAMBANG SETIADJI,Deceiving Smart Lock Trusted Place in Android Smartphones with Location Spoofing
MUHAMMAD YUSUF BAMBANG SETIADJI,Embedded Wids Kismet Sebagai Perangkat Deteksi Serangan Data Link Layer Wi-Fi Access Point
MUHAMMAD YUSUF BAMBANG SETIADJI,Pembuatan Bahan Cyber Exercise sebagai Sarana Latihan Penanganan Insiden Malware (Studi Kasus: Instansi XYZ)
MUHAMMAD YUSUF BAMBANG SETIADJI,OTOMATISASI KARMA ATTACK
DION OGI,The making of indicator of compromise using malware reverse engineering techniques
DION OGI,Implementing One-Time Password Mutual Authentication Scheme on Sharing Renewed Finite Random Sub-Passwords Using Raspberry Pi as a Room Access Control to Prevent Replay Attack
DION OGI,Implementation of two factor authentication based on rfid and face recognition using lbp algorithm on access control system
DION OGI,Design of electronic medical record security policy in hospital management information system (SIMRS) in XYZ Hospital
DION OGI,Analysis of Secure Bit Rate for Quantum Key Distribution based on EDU-QCRY1
DION OGI,Fast implementation of AES on Cortex-M3 for security information devices
DION OGI,Implementation of secure parking based on cyber-physical system using one-time password Gong et al. Scheme to overcome replay attack
DION OGI,Access Control System based on Secret Sharing Scheme with Secure Web Database and SHA-3 Password Authentication
DION OGI,Implementation of Efficient Anonymous Certificate-Based Multi-Message and Multi-Receiver Signcryption On Raspberry Pi-Based Internet of Things Monitoring System
DION OGI,Design of Automated Polarization based on EDU-QCRY 1
DION OGI,Secure Self Payment and Monitoring Service Laundry using RFID with SHA-3 and AES 128
DION OGI,Implementation of AES-256 Algorithm for Secure Data Transmission in LoRa-based Forest Fire Monitoring System
DION OGI,Implementation of PRESENT Algorithm on Contactless Access Control Using Raspberry Pi
DION OGI,Implementation of Hybrid Password Authentication Scheme Based on Shape-Text on Raspberry Pi as a Client-Server-Based Access Control System to Overcome Shoulder Surfing Attack
DION OGI,Implementation of ChaCha20 Algorithm with Elliptic-Curve-Diffie-Hellman in Server Room Monitoring System to Prevent MITM and Reused Key Attack
DION OGI,Implementasi autentikasi menggunakan RFID pada sistem gerbang otomatis dengan pengenalan plat nomor kendaraan berbasis optical character recognition (OCR)
DION OGI,Implementasi autentikasi dua faktor berbasis RFID dan pengenalan wajah dengan skema secret sharing pada sistem kendali akses ruang server
DION OGI,Implementasi Algoritme Snow pada Sistem Komunikasi Voip Berbasis Raspberry Pi
DION OGI,Pengembangan Otomatisasi Perangkat Simulasi Quantum Key Distribution dengan Menerapkan Seluruh Protokol BB84 untuk Quantum Key Distribution di Luar Laboratorium
DION OGI,Implementasi Sistem Autentikasi Berbasis Time-Based One Time Password pada Mikrokontroler ESP32
DION OGI,Author’s Index
DION OGI,Implementasi Algoritme Shor pada Sirkuit Kuantum untuk Cracking Algoritme RSA
DION OGI,Parallelizing Polarization Plate Design for Automating Quantum Key Distribution Device based on EDU-QCRYI
DION OGI,"The Implementation of Wash, Rinse, and Spin Technique in Accelerometer’s Data Processing on Android Smartphone to Generate Stream Keys"
DION OGI,Studi kinerja algoritma paralel dengan MPICH2 dan Cilk++ pada prosesor multicore
DION OGI,Parallel Sesion 1.1. Communications and Computer System
MARETA WAHYU ARDYANI,ENT Randomness Test on DM-PRESENT-80 and DM-PRESENT-128-based Pseudorandom Number Generator
MARETA WAHYU ARDYANI,Evaluation with NIST Statistical Test on Pseudorandom Number Generators based on DMP-80 and DMP-128
MARETA WAHYU ARDYANI,On the modifications of a digital signature algorithm with secret sharing
MARETA WAHYU ARDYANI,Correcting block attack on the 32-bit reduced NEEVA
MARETA WAHYU ARDYANI,Analisis Kemampuan Siswa Kelas II Dan III SD Dalam Menyelesaikan Masalah Barisan Bilangan
MARETA WAHYU ARDYANI,The Design of a C1 Document Data Extraction Application Using a Tesseract-Optical Character Recognition Engine
MARETA WAHYU ARDYANI,Layers of security: An exploit of learning with errors cryptosystem and image steganography to ensure secrecy
MARETA WAHYU ARDYANI,A Novel Digital Signature Scheme Based on Linear Congruence
MARETA WAHYU ARDYANI,Exploration of Malicious Applications on Digital Invitations with Static Analysis Method Using ImmuniWeb
MARETA WAHYU ARDYANI,Kajian Matematis Mekanisme Enkapsulasi Kunci Kyber. CCAKEM Berbasis Masalah Learning With Error
MARETA WAHYU ARDYANI,Analisis Forensik Digital Aplikasi Rocket. Chat pada Smartphone Android Berdasarkan NIST SP 800-101 Rev1
MARETA WAHYU ARDYANI,Analisis Bukti Forensik Digital Aplikasi Video Conference Google Meet dan Zoom pada Sistem Operasi Android 10 Berdasarkan NIST SP 800-101 R1
MARETA WAHYU ARDYANI,Studi Komparasi implementasi algoritme kunci publik pada modifikasi teknik DNA cryptography biswas et. al.
MARETA WAHYU ARDYANI,Desain Skema Tanda Tangan Digital Berbasis Linear Error-Correcting Code
MARETA WAHYU ARDYANI,Mathematical Modelling on the Effects of Acid Rain on a Fresh-Water Ecosystem
MARETA WAHYU ARDYANI,Modifikasi algoritme ESRKGS Thangavel et al. menggunakan metode multi kunci dan Teorema Sisa Cina
MARETA WAHYU ARDYANI,Modelling the Effects of Farnesol and CO2 on the cAMP Pathway Regulating Morphogenesis in Candida albicans
MARETA WAHYU ARDYANI,ANALISIS KEMAMPUAN SISWA KELAS II DAN III SD DALAM MENYELESAIKAN MASALAH BARISAN BILANGAN
SEPHA SISWANTYO,Security analysis and improvement of lighweight vanet authentication protocol (case study: Zhao et al. lvap)
SEPHA SISWANTYO,Analisis Penggunaan Hasil Deteksi IDS Snort pada Tools RITA dalam Mendeteksi Aktivitas Beacon
SEPHA SISWANTYO,Implementation analysis of RC5 algorithm on Preneel-Govaerts-Vandewalle (PGV) hashing schemes using length extension attack
SEPHA SISWANTYO,Formal Analysis and Improvement of Zero-Knowledge Password Authentication Protocol
SEPHA SISWANTYO,Formal Analysis of Kang et al.&#39;s Authentication Protocol using Tamarin-Prover
SEPHA SISWANTYO,Modification of LAKA Protocol Using Fuzzy Verifier and Honeywords
SEPHA SISWANTYO,Implementasi invisible steganography via generative adverserial network (ISGAN) untuk steganografi gambar
SEPHA SISWANTYO,Fixed Point Attack dan Collision Attack pada 4 Secure-PGV Hash Function Schemes Berbasis Algoritme Improved-DLBCA
SEPHA SISWANTYO,Integral Attack pada Reduced Round Algoritme SLIM
SEPHA SISWANTYO,Analisis Protokol Pu dan Li dengan Tamarin Prover
SEPHA SISWANTYO,Modifikasi Key Establishment Protokol ET SRT Menggunakan Skema SHArma-Krishna dalam Komunikasi Grup
SEPHA SISWANTYO,Analisis integrasi security information and event management (SIEM) dan intrusion detection system (IDS) dalam mendeteksi serangan berbasis Evasion Technique
SEPHA SISWANTYO,Modified Dass-Om Protocol for Preventing Algebraic Replay Attacks
SEPHA SISWANTYO,VERIFIKASI FORMAL PROTOKOL AUTENTIKASI LINTAS REALM BERBASIS KUNCI PUBLIK
RAHMAT PURWOKO,Insertion attack effects on standard PRNGs ANSI X9. 17 and ANSI X9. 31 based on statistical distance tests and entropy difference tests
RAHMAT PURWOKO,Analysis of SQL injection attack detection and prevention on MySQL database using input categorization and input verifier
RAHMAT PURWOKO,Rancang Bangun Prototipe Modul Enkripsi/Dekripsi Menggunakan Algoritma Blowfish pada Mikrokontroler STM32F103 Berbasis Prosesor ARM Cortex-M3
RAHMAT PURWOKO,Honeypot-as-a-Service dengan Kubernetes Cluster
