dosen,judul
DIMAS FEBRIYAN PRIAMBODO,Penetration Testing Web XYZ Berdasarkan OWASP Risk Rating
DIMAS FEBRIYAN PRIAMBODO,TIA-942 Approach dengan Computational Fluid Dynamic untuk Data Center
DIMAS FEBRIYAN PRIAMBODO,Honeypot-as-a-Service dengan Kubernetes Cluster
DIMAS FEBRIYAN PRIAMBODO,Cloud Storage untuk Embedded Intrusion Detection System
DIMAS FEBRIYAN PRIAMBODO,Implementasi Analytical Hierarchy Process Dan Metode Perbandingan Eksponensial Untuk Pemberian Reward Karyawan
DIMAS FEBRIYAN PRIAMBODO,Embedded Wids Kismet Sebagai Perangkat Deteksi Serangan Data Link Layer Wi-Fi Access Point
DIMAS FEBRIYAN PRIAMBODO,Tinjauan strategis keamanan siber Indonesia: teknologi cloud dan tata kelola data
DIMAS FEBRIYAN PRIAMBODO,Security Assessment Aplikasi Mobile Pemerintahan dengan Acuan OWASP Top 10 Mobile Risks
DIMAS FEBRIYAN PRIAMBODO,Identifikasi Malware Berdasarkan Artefak Registry Windows 10 Menggunakan Regshot dan Cuckoo
DIMAS FEBRIYAN PRIAMBODO,Implementasi KRACK dan KRACK Detector terhadap Wpa_Supplicant pada Perangkat Android dan Linux Ubuntu
DIMAS FEBRIYAN PRIAMBODO,Tinjauan Strategis Keamanan Siber IndonesiaMenuju Era Teknologi 5G
DIMAS FEBRIYAN PRIAMBODO,Pengembangan Sistem Informasi Pada Dinas Sosial Kabupaten Kolaka Guna Menunjang Keberhasilan Pelayanan Sosial Pada Masyarakat Berbasis Web
DIMAS FEBRIYAN PRIAMBODO,Purwarupa Sistem Smart Kawasan Tanpa Rokok di Sekolah Berbasis Internet of Things Untuk Menekan Prevalensi Perokok Anak
DIMAS FEBRIYAN PRIAMBODO,"ANALISIS KOMPARATIF KEAMANAN APLIKASI PENGELOLA KATA SANDI BERBAYAR LASTPASS, 1PASSWORD, DAN KEEPER BERDASARKAN ISO/IEC"
DIMAS FEBRIYAN PRIAMBODO,Pemrograman Jaringan Dengan Python
HERMAWAN SETIAWAN,Aplikasi regresi binomial negatif dan generalized poisson dalam mengatasi overdispersion pada regresi poisson (studi kasus data kemiskinan provinsi di Indonesia tahun 2009)
HERMAWAN SETIAWAN,Analisis regresi linier berganda dengan heteroskedastisitas melalui pendekatan weight least square: studi data apbn tahun 1976-2007
HERMAWAN SETIAWAN,Steganografi menggunakan metode LSB dengan software Matlab
HERMAWAN SETIAWAN,"Analisis pengaruh indeks harga saham sektor keuangan, tingkat inflansi suku bungan bank Indonesia terhadap indeks harga saham gabungan di bursa efek Indonesia tahun 2000-2009 "
HERMAWAN SETIAWAN,Perbandingan model fungsi transfer dan arima: studi kasus model antara curah hujan dengan kelembaban udara
HERMAWAN SETIAWAN,Enkripsi pesan rahasia menggunakan Algoritma (Advanced Encription Standard) Aes: Rijndael
HERMAWAN SETIAWAN,Pemodelan permainan monopoli menggunakan rantai markov
HERMAWAN SETIAWAN,Analisis Regresi Berganda Berautokorelasi Pada Anggaran Pendapatan Dan Belanja Negara Tahun 1976-2007
HERMAWAN SETIAWAN,Analisis Pfreferensi Mahasiswa Terhadap Produk Flashdisk Menggunakan Analisis Konjoin
HERMAWAN SETIAWAN,Perbandingan Model Autoregressive dan Model Analisis Path untuk Data Suhu Minimum Pondok Betung Tangerang Tahun 2007
HERMAWAN SETIAWAN,Analisis Kerawanan Pada Aplikasi Website Menggunakan Standar OWASP Top 10 Untuk Penilaian Risk Rating
HERMAWAN SETIAWAN,Rancang Bangun Mobile Secure Chat dengan Mengimplementasikan Metodologi SSDLC-Agile dan Kriptografi
HERMAWAN SETIAWAN,Sistem Informasi Covid-19 Berbasis Mobile DenganFramework Flutter dan Application Programming Interface (API)
HERMAWAN SETIAWAN,Kajian Penerapan Tanda Tangan Elektronik pada Proses Pembuatan dan Verifikasi Berita Kementerian Luar Negeri dengan Perwakilan Republik Indonesia
HERMAWAN SETIAWAN,Model credit scoring untuk proses analisa kelayakan fasilitas kredit
HERMAWAN SETIAWAN,Pemrograman Linier dengan Data Bersifat Rahasia
HERMAWAN SETIAWAN,Kajian algoritma montgomery dan implementasinya pada keamanan jaringan komputer
HERMAWAN SETIAWAN,Preferensi masyarakat dalam memilih kendaraan bermotor roda dua
HERMAWAN SETIAWAN,Pemodelan regresi data panel untuk rasio keuangan price earning ratio pada perusahaan sektor properti di bei tahun 2008-2012
HERMAWAN SETIAWAN,Konsep kelayakan nasabah dalam pengajuan pembiayaan KPR Syariah bersubsidi (studi kasus pada BTN Syariah)
HERMAWAN SETIAWAN,Analisis Percobaan Multilokasi Menggunakan Metode Mixed Additive Main Effect Multiplikatif Interaction (M-Ammi)(Studi Kasus Produksi Padi Hibrida di Jawa Tengah Tahun 2007)
HERMAWAN SETIAWAN,Analisa komitmen organisasi terhadap motivasi belajar dalam mencapai prestasi mahasiswa: studi kasus Student Center Universitas Islam Negeri Syarif Hidayatullah Jakarta
HERMAWAN SETIAWAN,Analisis cluster terhadap klasifikasi Madrasah Tsanawiyah Wilayah DKI Jakarta Tahun 2007-2008
HERMAWAN SETIAWAN,Aplikasi cox proportional hazard model di asuransi jiwa: studi kasus pada AJB Bumiputra
HERMAWAN SETIAWAN,"Pengaruh rasio earning per share terhadap risiko finansial Bank Syariah: studi pada pt. Bank syariah muamalat indonesia, tbk"
HERMAWAN SETIAWAN,Pendugaan intensitas curah hujan maksimum dengan generalized pareto distribution studi kasus: intensitas curah hujan kota semarang periode 2001-2011
HERMAWAN SETIAWAN,Penentuan Faktor Penilaian Kinerja Pengajar Dengan Metode Ekstraksi Maximum Likelihood: Studi Kasus Di Lembaga Les Privat Dan Kelompok Belajar Bintang Pelajar Cabang Bintaro 
HERMAWAN SETIAWAN,Efisiensi Program Tuna Netra Berdaya Tangerang Selatan Berbasis Modal Kerja Zis (Studi Pada Masyarakat MandiriDompet Dhuafa)
HERMAWAN SETIAWAN,Aplikasi Rekresi Ridge Untuk Mengatasi Multikolinearitas Pada Data APBN Tahun 1976-2007
HERMAWAN SETIAWAN,Analisis pemprosesan digital signature menggunakan fungsi hash MD5
HERMAWAN SETIAWAN,Tanda tangan digital menggunakan algoritma elgamal
HERMAWAN SETIAWAN,Studi komparasi tingkat kepuasan nasabah terhadap pelayanan di unit customer service dan teller Bank Syariah Mandiri Cabang Pondok Indah
HERMAWAN SETIAWAN,Aplikasi regresi logistik politomi variabel respon nominal pada minat membeli kendaraan roda empat Jepang: Studi kasus penjualan PT. OTO Multiartha di Jakarta Tahun 2004
HERMAWAN SETIAWAN,Analisis trend pada indeks harga perdagangan besar Tahun 2000-2008
HERMAWAN SETIAWAN,"Analisis korespondensi hubungan antara kondisi sekolah, tenaga pengajar, dan sarana belajar terhadap prestasi sekolah: studi kasus SMA dan SMK Jakarta Selatan 2010"
HERMAWAN SETIAWAN,Pengaruh Debt To Equity Ratio (DER) Dan Return On Equity (ROE) Terhadap Harga Saham
HERMAWAN SETIAWAN,Analisis Pertumbuhan Dan Aglomerasi Volume Usaha Koperasi Di Indonesia Dengan Metode Regresi Data Panel Dan Analisis Cluster: Studi Kasus Data Pertumbuhan Koperasi Di Indonesia 
HERMAWAN SETIAWAN,Aplikasi metode principal component dalam penentuan faktor penilaian kinerja pengajar: sudi kasus lembaga les privat dan kelompok belajar bintang pelajar cabang Bintaro tahun 2008
HERMAWAN SETIAWAN,"ANALISIS KECEPATAN ENKRIPSI DEKRIPSI DAN ALOKASI MEMORI MENGGUNAKAN ALGORITMA DES, 3DES DAN ELGAMAL"
HERMAWAN SETIAWAN,PERANCANGAN INFRASTRUKTUR KUNCI PUBLIK DENGAN IMPLEMENTASI PEMBANGUNAN SISTEM UJIAN DARING BERBASIS WEB
HERMAWAN SETIAWAN,Hubungan keberhasilan akademik mahasiswa dengan karakteristik mahasiswa menggunakan metode regresi logistik dikotomi berganda: studi kasus pada mahasiswa FST UIN Syarif 
FETTY AMELIA,Peningkatan Akurasi Speaker Recognition System pada Lingkungan yang Mengandung Noise dengan Menggunakan Metode Discrete Wavelet Transform-Mel Frequency Cepstral Coefficient 
HERMAN KABETTA,Implementasi REST API pada Aplikasi Panduan Kepaskibraan Berbasis Android
HERMAN KABETTA,Desain dan Implementasi Penandatangan Elektronik Sertifikat X509 Menggunakan Platform Bot Telegram
HERMAN KABETTA,Analisis Kompleksitas Waktu Algoritma Kriptografi Elgamal Dan Data Encryption Standard
HERMAN KABETTA,Tinjauan Strategis Keamanan Siber Indonesia: Teknologi Cloud dan Tata Kelola Data
HERMAN KABETTA,Studi Tentang Web Race Condition Sebagai Acuan Pembuatan Sebuah Modul Praktikum
HERMAN KABETTA,Rancang bangun sistem informasi pelayanan Subbagian Pengelolaan Aset dan Rumah Tangga (SPARTA) berbasis web pada Politeknik Siber dan Sandi Negara dengan menerapkan secure SDLC
ARIF RAHMAN HAKIM,Industri Kosmetik dan Manfaat Bagi Konsumen Kosmetik di Indonesia
ARIF RAHMAN HAKIM,Perancangan Perangkat Audit Internal Untuk Sistem Keamanan Informasi Pada Organisasi XYZ
ARIF RAHMAN HAKIM,Perancangan Manajemen Risiko Keamanan Informasi Layanan Jaringan MKP Berdasarkan Kerangka Kerja ISO/IEC 27005: 2018 dan NIST SP 800-30 Revisi 1
ARIF RAHMAN HAKIM,Analisis Keamanan Pair Based Text Authentication pada Skema Login
ARIF RAHMAN HAKIM,Profil ringkas industri tekstil dan produk tekstil di Indonesia
ARIF RAHMAN HAKIM,Uji Keacakan Rangkaian Subkey Algoritma LBlock dan LBlock-s
ARIF RAHMAN HAKIM,Perancangan Dokumen Kebijakan Manajemen Kunci pada Kementerian Dalam Negeri dalam Penerbitan KTP Elektronik
ARIF RAHMAN HAKIM,Kriptanalisis Algoritma Sosemanuk dengan Metode Linear Masking
ARIF RAHMAN HAKIM,Protokol Autentikasi HB* Sebagai Pengamanan RFID di Era Ubiquitous Computing
ARIF RAHMAN HAKIM,Industri Pengolahan Karet di Indonesia
I KOMANG SETIA BUANA,Implementasi Aplikasi Speech to Text untuk Memudahkan Wartawan Mencatat Wawancara dengan Python
I KOMANG SETIA BUANA,Aplikasi untuk pengoprasian komputer dengan mendeteksi gerakan menggunakan opencv python
I KOMANG SETIA BUANA,Aplikasi Website Interaktif untuk Deteksi Tumbuh Kembang Anak
I KOMANG SETIA BUANA,Penerapan Pengenalan Wajah Untuk Aplikasi Absensi dengan Metode Viola Jones dan Algoritam LBPH
I KOMANG SETIA BUANA,Deteksi Gerakan Kepala Dan Kedipan Mata Dengan Haar Cascade Classifier Contour Dan Morfologi Dalam Pengoperasian Komputer Untuk Kaum Difable
I KOMANG SETIA BUANA,PKM: Kelompok Pengerajin Berbahan Kertas Koran di Desa Beraban Kecamatan Kediri Kabupaten Tabanan
I KOMANG SETIA BUANA,Perancangan Aplikasi Diagnosis Kadar Bilirubin Berdasarkan Ikterus Pada Bayi Dengan Acuan Kramer
I KOMANG SETIA BUANA,Aplikasi Komik Untuk Toilet Training Berbasis Android
I KOMANG SETIA BUANA,Rancang Bangun Aplikasi Pembelajaran Fisiologi Sistem Pernafasan Manusia Berbasis Augmented Reality Pada Android
I KOMANG SETIA BUANA,Aplikasi Untuk Menggerakan Cursor Dengan Deteksi Kepala Secara Real-Time Menggunakan Metode Optical Flow Dan Sift
I KOMANG SETIA BUANA,Aplikasi Mendeteksi Gerakan Tangan untuk Bermain Game Pingpong dengan Teknik Pengolahan Citra
I KOMANG SETIA BUANA,Pengaruh Model Discovery Learning berbantuan Multimedia Interaktif Terhadap Kompetensi Pengetahuan PPKn Siswa Kelas IV SD Gugus I Gusti Ketut Pudja Kecamatan Denpasar Selatan
I KOMANG SETIA BUANA,Perancangan Aplikasi Deteksi Api Dan Asap Untuk Mengetahui Kebakaran Secara Real-Time Dengan Pengolahan Citra Digital
I KOMANG SETIA BUANA,Analisa dan Desain Aplikasi Diagnosis Kadar Bilirubin Berdasarkan Ikterus Pada Bayi Dengan Acuan Kramer
I KOMANG SETIA BUANA,Perancangan Aplikasi pengolahan citra mata menjadi citra iris mata menggunakan teknik pengolahan citra
I KOMANG SETIA BUANA,Aplikasi Pembelajaran Metode-metode Dan Teknik Tenis Meja Berbasis Android
I KOMANG SETIA BUANA,PENGARUH SUASANA TOKO DAN HARGA TERHADAP KEPUTUSAN PEMBELIAN PADA RENTAL PLAY STATION CINE
I KOMANG SETIA BUANA,SISTEM INFORMASI MANAJEMEN PENGELUARAN BIAYA KEGIATAN PROYEK PEMBANGUNAN PADA CV. AMARTHA BERBASIS WEB DAN MOBILE
I KOMANG SETIA BUANA,APLIKASI TUTORIAL EDUKASI RESUSITASI JANTUNG-PARU (RJP) DAN INFORMASI LOKASI RUMAH SAKIT DI KOTA DENPASAR BERBASIS ANDROID
I KOMANG SETIA BUANA,APLIKASI PELAPORAN INCIDENT DAN ACCIDENT DI PT. ANGKASA PURA I (PERSERO) BANDARA I GUSTI NGURAH RAI
I KOMANG SETIA BUANA,APLIKASI BUKU ANIMASI SEJARAH BARONG LANDUNG BERBASIS MULTIMEDIA
I KOMANG SETIA BUANA,RANCANG BANGUN GAME JOURNEY KING OF BULELENG MENGGUNAKAN BAHASA LUA BERBASIS ANDROID
I KOMANG SETIA BUANA,SISTEM INFORMASI ABSENSI KARYAWAN PADA UPT. SKB. SUKAWATI MENGGUNAKAN SCANNING SIDIK JARI DENGAN TEKNIK CAPACITIVE SCANNING
I KOMANG SETIA BUANA,SISTEM INFORMASI UNTUK BUDAYA SENI LUKISAN DI DESA BATUAN BERBASIS WEB RESPONSIF MENGGUNAKAN TOOLS FITTEXT
I KOMANG SETIA BUANA,RANCANG BANGUN APLIKASI PEMBELAJARAN PEMBUATAN UPAKARA CARU DALAM UPACARA BHUTA YADNYA BERBASIS ADNROID
I KOMANG SETIA BUANA,STRUKTUR DATA
I KOMANG SETIA BUANA,Aplikasi Informasi Objek Wisata Religi Kabupaten Gianyar Berbasis Multimedia Interaktif
SUSILA WINDARTA,Design key exchange protocol SOFU-11
AMIRUDDIN,Perancangan Spesifikasi Keamanan untuk Pengembangan Aplikasi Secure Chat Berdasarkan Common Criteria For It Security Evaluation
AMIRUDDIN,Perancangan Rencana Tata Kelola dan Manajemen Teknologi Informasi Menggunakan COBIT 2019 dan NIST SP 800-53 Rev 5 (Studi Kasus: Instansi Pemerintah ABC)
AMIRUDDIN,Evaluasi Keamanan pada Kelas Assurance Vulnerability Assessment Aplikasi PeSankita Berdasarkan Common Criteria Evaluation Methodology Version 3.1 Revision 5: 2017
AMIRUDDIN,Uji Keamanan Aplikasi ABC Milik Instansi XYZ Menggunakan OWASP Mobile Security Testing Guide
AMIRUDDIN,Perancangan perangkat pembelajaran terbuka Blockchain menggunakan teknik task-based learning
AMIRUDDIN,Pemetaan Kompetensi dan Analisis Kesenjangan Sumber Daya Manusia (SDM) Berdasarkan NIST National Initiative for Cybersecurity Education (NICE) Cybersecurity Workforce Framework
AMIRUDDIN,Perancangan sistem informasi aduan siber berbasis web di Pusat Operasi Keamanan Siber Nasional
AMIRUDDIN,Perancangan Komponen Certification Authority (CA) pada Aplikasi Secure e-Voting untuk Pemilihan Umum Kepala Daerah (Pemilukada)
AMIRUDDIN,Tinjauan awal penerapan kriptografi untuk keamanan privacy preserving data mining (PPDM)
AMIRUDDIN,Penerapan Information Economics (IE) Untuk Pengkajian Investasi S1/T1 : Studi Kasus Proyek SIM PT. ABCD
AMIRUDDIN,Pemanfaatan skema protokol group signature untuk alternatif pengamanan pada aplikasi iPowerMeeting
AMIRUDDIN,Implementasi Data Mining untuk Menemukan Association Rule pada data Perbankan
SRI ROSDIANA,Implementasi Secret SHAring Berbasis Visual Cryptography Menggunakan Citra Grayscale
SRI ROSDIANA,Modifikasi algoritme ESRKGS Thangavel et al. menggunakan metode multi kunci dan Teorema Sisa Cina
OBRINA CANDRA BRILIYANT,Rencana Penerapan Cyber-Risk Management Menggunakan NIST CSF dan COBIT 5
MUHAMMAD YUSUF BAMBANG SETIADJI,OTOMATISASI KARMA ATTACK
RINI WISNU WARDHANI,Perancangan dan simulasi teknologi blockchain berbasis hyperledger pada sistem rekam medis terdistribusi
BETY HAYAT SUSANTI,Konvergensi Produktivitas Tenaga Kerja Sektoral Antar Propinsi di Indonesia (1987-2003)
BETY HAYAT SUSANTI,Serangan Integral pada Algoritme TS-2
BETY HAYAT SUSANTI,Desain Skema Tanda Tangan Digital Berbasis Linear Error-Correcting Code
BETY HAYAT SUSANTI,Rancang bangun aplikasi ekstraksi data dokumen C1 menggunakan Tesseract-OCR Engine
BETY HAYAT SUSANTI,Analisis Pengaruh S-box Terhadap Kondisi Steady-State Pada Algoritma s-SPN
BETY HAYAT SUSANTI,Rancang Bangun Algoritma Block Cipher SQF-1
ANNISA DINI HANDAYANI,Pemanfaatan Graf pada Manajemen Kunci Kriptografi untuk Mengamankan Komunikasi Grup
IRA ROSIANAL HIKMAH,Perbandingan Hasil Prediksi Diagnosis pada Indian Liver Patient Dataset (ILPD) dengan Teknik Supervised Learning Menggunakan Software Orange
IRA ROSIANAL HIKMAH,Pemodelan Spasial Data Panel untuk Menentukan Faktor-Faktor yang Mempengaruhi Kesehatan di Provinsi Papua
IRA ROSIANAL HIKMAH,Network Forensic Serangan DoS pada Jaringan Cloud berdasarkan Generic Framework for Network Forensics (GFNF)
IRA ROSIANAL HIKMAH,Analisis Perbandingan Kinerja dan Kegunaan Aplikasi Pengelola Kata Sandi Closed-Source berdasarkan ISO/IEC 25010
IRA ROSIANAL HIKMAH,Klasifikasi Minat Korban Banjir terhadap Pembelian Produk Asuransi Dampak Banjir Menggunakan Software Orange (Studi Kasus: Kota Jakarta Timur)
IRA ROSIANAL HIKMAH,Beberapa karakteristik matriks Riordan dan grup Riordan
IRA ROSIANAL HIKMAH,Analisis Tarif Premi dan Asumsi Loading pada Produk Asuransi Dwiguna Beasiswa
IRA ROSIANAL HIKMAH,PERHITUNGAN CADANGAN KLAIM DENGAN METODE CHAIN LADDER MENGGUNAKAN EXCEL DAN RSTUDIO
IRA ROSIANAL HIKMAH,Identifikasi Struktur Dependensi dan Prediksi Indeks Harga Saham Gabungan dengan Pendekatan CD Vine Copula.
RIZKA KHAIRUNNISA,Pengembangan Desain Meterai Elektronik Mendukung Digitalisasi Bea Meterai Di Indonesia
JECKSON SIDABUTAR,Desain Jaringan Komputer Terintegrasi Menggunakan Arsitektur Campus LAN: Campus LAN; Arsitektur Enterprise; Infrastruktur &amp; Keamanan Jaringan
JECKSON SIDABUTAR,Desain Perangkat Aktif Data Center Berdasarkan Standar TIA-942 Tingkat 3
JECKSON SIDABUTAR,Analisis Rules Intrusion Detection Prevention System (IDPS) Suricata untuk Mendeteksi dan Menangkal Aktivitas Crypto Mining pada Jaringan
RAY NOVITA YASA,Analisis Aplikasi Cryptowallet Tiruan Terhadap Indikasi Android Malware
RAY NOVITA YASA,FUNGSI WRIGHT SEBAGAI SOLUSI ANALITIK PERSAMAAN DIFUSI-GELOMBANG FRAKSIONAL PADA MEDIA VISKOELASTIS
NIA YULIANTI,FUNGSI MONOTON ALJABAR-C
NIA YULIANTI,Desain Algoritma Kriptografi Klasik dengan Konsep Koset Grup dalam Teori Aljabar
NIA YULIANTI,KARAKTERISASI MODUL CYCLICALLY PURE (CP)-INJEKTIF
AGUS REZA ARISTIADI NURWA,Rancang Bangun Dongle Cryptoprocessor untuk Tanda Tangan Elektronik Dokumen Berbasis Secure Hardware
NURUL QOMARIASIH,Peramalan Kasus Covid-19 di DKI Jakarta dengan Model Arima
NURUL QOMARIASIH,Rancang Bangun Aplikasi Event Management Untuk Manajemen Data Peserta KLiKS Dengan Secure Web Api Berdasarkan OWASP API Top Ten 2019
NURUL QOMARIASIH,Implementasi K-Means Clustering Analysis untuk Mengelompokkan Kelurahan-Kelurahan Di DKI Jakarta Berdasarkan Jumlah Positif Covid-19.
NURUL QOMARIASIH,Analisis keamanan pada website milik Dinas Kesehatan Kabupaten Oku Timur berdasarkan open web application security project (OWASP) Top 10 2021
NURUL QOMARIASIH,Desain PRNG Berbasis Fungsi Hash Menggunakan GIMLI
NURUL QOMARIASIH,Analisis Gerombol Simultan Dan Jejaring Farmakologi Pada Penentuan Senyawa Aktif Jamu Anti Diabetes Tipe 2.
NURUL QOMARIASIH,Analisis Ragam Daya Gabung dan Resiprokal Bobot Biji Jagung dalam Persilangan Dialel Lengkap
MARETA WAHYU ARDYANI,Studi Komparasi Implementasi Algoritme Kunci Publik pada Modifikasi Teknik DNA Cryptography Biswas et. al.
SETIYO CAHYONO,Panduan praktis pemrograman database menggunakan mysql dan java
SETIYO CAHYONO,Perbandingan Nilai Akurasi Snort dan Suricata dalam Mendeteksi Intrusi Lalu Lintas di Jaringan
SETIYO CAHYONO,Implementasi Skema SecLaaS-RW dalam Membuat Aplikasi Secure Logging
SETIYO CAHYONO,Evaluasi Layanan Kriptografi pada Perangkat Berbasis Android
SETIYO CAHYONO,Analisis Kebutuhan Pengamanan E-Mail Sebagai Upaya Pengamanan Pertukaran Informasi di Pusat Data dan Informasi Kementerian Pertahanan RI
SETIYO CAHYONO,Pembangunan Aplikasi Keamanan SIM SDM Persandian di Lingkungan TNI
SETIYO CAHYONO,Analisis Kebutuhan Penyelenggaraan Persandian yang Efektif Dan Efisien di Wilayah Perbatasan
NADIA PARAMITA RETNO ADIATI,Pencarian Karakteristik Truncated Differential pada 8 Iterasi Algoritme Design 32 Bit Lightweight Block Cipher Algorithm (DLBCA)
SEPHA SISWANTYO,Analisis Penggunaan Hasil Deteksi IDS Snort pada Tools RITA dalam Mendeteksi Aktivitas Beacon
ANDRIANI ADI LESTARI,Implementasi Secure Storage Menggunakan Metode Full Disk Encryption dan Tamper Proof pada Cloud Storage
ANDRIANI ADI LESTARI,Second Preimage Attack pada Skema Davies-Meyer Berbasis SIMECK32/64 Menggunakan Metode Kortelainen
ANDRIANI ADI LESTARI,"Serangan Universal Forgery pada Skema Fungsi Hash Ft, LightMAC_Plus, dan LightMAC_Plus2 Berbasis Algoritme DLBCA"
ANDRIANI ADI LESTARI,Kriptanalisis Diferensial Takmungkin pada Algoritme DLBCA Empat dan Lima Putaran Menggunakan Teknik Miss-In-The-Middle
